state,times
0011011110,5.738380462705434e-07
0011011111,4.190946066683072e-09
0011100000,0.00026029215305558017
0011100001,7.498944487060983e-09
0011100010,4.1592126085884456e-07
0011100011,3.037622868638494e-09
0011100100,8.495263031248708e-08
0011100101,2.4474616359530615e-12
0011100110,2.0972157713201986e-07
0011100111,1.5316722627443645e-09
0011101000,9.264718668685284e-08
0011101001,2.669139663609966e-12
0011101010,1.4804109247808333e-10
0011101011,1.0811974532897688e-12
0011101100,1.8373853195641113e-07
0011101101,5.2934559689972586e-12
0011101110,4.535931914065349e-07
0011101111,3.3127545546242762e-09
0011110000,0.00017331557976494206
0011110001,4.99317361719533e-09
0011110010,2.769412508832869e-07
0011110011,2.022601766534662e-09
0011110100,5.65657250989874e-08
0011110101,1.629642797172925e-12
0011110110,1.3964315213948327e-07
0011110111,1.0198642683275047e-09
0011111000,8.013351482887875e-05
0011111001,2.308624260088726e-09
0011111010,1.280454755682218e-07
0011111011,9.35162256453453e-10
0011111100,0.00015892133265666504
0011111101,4.578479364099811e-09
0011111110,0.0003923272581682399
0011111111,2.8653073635649935e-06
0100000000,0.0002901130530601694
0100000001,8.35807631667424e-09
0100000010,4.6357212618172557e-07
0100000011,3.3856343117571016e-09
0100000100,9.468540121601318e-08
0100000101,2.7278600569351974e-12
0100000110,2.337487562345849e-07
0100000111,1.7071514112738607e-09
0100001000,1.0326150009377763e-07
0100001001,2.9749350787710217e-12
0100001010,1.6500172138500406e-10
0100001011,1.2050670389122218e-12
0100001100,2.0478891063337488e-07
0100001101,5.899911520104312e-12
0100001110,5.055600180853574e-07
0100001111,3.6922870190243994e-09
0100010000,3.3541718773418797e-07
0100010001,9.663275827941319e-12
0100010010,5.359636777307775e-10
0100010011,3.914335903081261e-12
0100010100,1.0947149968040761e-10
0100010101,3.1538434385434592e-15
0100010110,2.702510267137407e-10
0100010111,1.9737406482264347e-12
0100011000,1.550821814381122e-07
0100011001,4.4678744859757596e-12
0100011010,2.4780607361108815e-10
0100011011,1.809817066418302e-12
0100011100,3.0756003899339205e-07
0100011101,8.860719125702113e-12
0100011110,7.592699155190096e-07
0100011111,5.545221838593384e-09
0100100000,4.243342875101481e-07
0100100001,1.2224952725777e-11
0100100010,6.780444581791694e-10
0100100011,4.952003049484998e-12
0100100100,1.3849174257690685e-10
0100100101,3.989908559705234e-15
0100100110,3.4189296512837137e-10
0100100111,2.4969675446647236e-12
0100101000,1.510355863251506e-10
0100101001,4.351293206987947e-15
0100101010,2.413400126030607e-13
0100101011,1.7625930924684305e-15
0100101100,2.995348039909454e-10
0100101101,8.629514338802076e-15
0100101110,7.39458110571037e-10
0100101111,5.4005290867617075e-12
0100110000,2.8254306628391225e-07
0100110001,8.139987104469604e-12
0100110010,4.514760318211962e-10
0100110011,3.2972921751351823e-12
0100110100,9.221475321328033e-11
0100110101,2.6566813755878352e-15
0100110110,2.2764949604964097e-10
0100110111,1.662606315932247e-12
0100111000,1.306355090671344e-07
0100111001,3.763572658773979e-12
0100111010,2.0874269549162162e-10
0100111011,1.5245231373295588e-12
0100111100,2.590772317620719e-07
0100111101,7.463942942722382e-12
0100111110,6.395809693505517e-07
0100111111,4.671090328091117e-09
0101000000,1.7108708736985942e-07
0101000001,4.928971371509519e-12
0101000010,2.733803392080923e-10
0101000011,1.9965951451961977e-12
0101000100,5.583840278684214e-11
0101000101,1.608688843782661e-15
0101000110,1.3784761994906937e-10
0101000111,1.0067508496200428e-12
0101001000,6.089594763880826e-11
0101001001,1.7543953033915942e-15
0101001010,9.730573521253644e-14
0101001011,7.10658853843964e-16
0101001100,1.2076925831615004e-10
0101001101,3.4793287205356365e-15
0101001110,2.9814167295305486e-10
0101001111,2.177436089672981e-12
0101010000,1.978040942933023e-10
0101010001,5.698680905306116e-15
0101010010,3.160714886550757e-13
0101010011,2.308383995760948e-15
0101010100,6.455814322303867e-14
0101010101,1.859902138939724e-18
0101010110,1.593739424388414e-13
0101010111,1.1639653409821712e-15
0101011000,9.145592880203107e-11
0101011001,2.634819855489802e-15
0101011010,1.4613757953830857e-13
0101011011,1.0672954122527965e-15
0101011100,1.8137602120172986e-10
0101011101,5.225392691670351e-15
0101011110,4.477608883967213e-10
0101011111,3.2701591437456484e-12
0101100000,2.0310372665655128e-07
0101100001,5.851361838739205e-12
0101100010,3.245397799528935e-10
0101100011,2.3702309791332966e-12
0101100100,6.628780623309124e-11
0101100101,1.9097332488730974e-15
0101100110,1.6364394153175736e-10
0101100111,1.1951506832917326e-12
0101101000,7.22918023438342e-11
0101101001,2.082706705838501e-15
0101101010,1.1551519024926403e-13
0101101011,8.43649066777032e-16
0101101100,1.433695950211087e-10
0101101101,4.130438131057063e-15
0101101110,3.539348631114281e-10
0101101111,2.5849138656092523e-12
0101110000,1.3523665513798275e-07
0101110001,3.8961303965202375e-12
0101110010,2.1609487439028523e-10
0101110011,1.5782187495970964e-12
0101110100,4.41377484252519e-11
0101110101,1.2715962480595874e-15
0101110110,1.0896234968535791e-10
0101110111,7.957913104546918e-13
0101111000,6.252749190006507e-08
0101111001,1.8013996394798039e-12
0101111010,9.991278247970496e-11
0101111011,7.296990596320018e-13
0101111100,1.2400494801278909e-07
0101111101,3.572548040164033e-12
0101111110,3.061295827304549e-07
0101111111,2.235774673669258e-09
0110000000,0.0005129830372178008
0110000001,1.4778898532829823e-08
0110000010,8.196964416106251e-07
0110000011,5.9865385367329555e-09
0110000100,1.6742440294784899e-07
0110000101,4.823450452680997e-12
0110000110,4.1331868957385943e-07
0110000111,3.0186153525615147e-09
0110001000,1.825888128335473e-07
0110001001,5.26033288104836e-12
0110001010,2.917589653047763e-10
0110001011,2.130820875350421e-12
0110001100,3.62111377813274e-07
0110001101,1.0432328014802198e-11
0110001110,8.939401755202138e-07
0110001111,6.52876728337406e-09
0110010000,5.93090610312012e-07
0110010001,1.7086775418762675e-11
0110010010,9.477004648382163e-10
0110010011,6.9213980518031056e-12
0110010100,1.9356944405805833e-10
0110010101,5.576681810583372e-15
0110010110,4.778626505512353e-10
0110010111,3.4900031616207067e-12
0110011000,2.742190591334242e-07
0110011001,7.90017477513642e-12
0110011010,4.381750870605232e-10
0110011011,3.2001505818054994e-12
0110011100,5.438331066645712e-07
0110011101,1.5667680447641934e-11
0110011110,1.3425545083980197e-06
0110011111,9.80515943975172e-09
0110100000,7.503154005189189e-07
0110100001,2.161637786705335e-11
0110100010,1.1989302165363434e-09
0110100011,8.75621947320574e-12
0110100100,2.448835513855801e-10
0110100101,7.055026961349435e-15
0110100110,6.045411945617519e-10
0110100111,4.415182224257679e-12
0110101000,2.670637980049041e-10
0110101001,7.694033693419904e-15
0110101010,4.2674168349682456e-13
0110101011,3.116648314910685e-15
0110101100,5.296427440369099e-10
0110101101,1.5258860049689433e-14
0110101110,1.3075229240974344e-09
0110101111,9.54931115400561e-12
0110110000,4.995976525643992e-07
0110110001,1.439326932628058e-11
0110110010,7.983079133865926e-10
0110110011,5.830330406555427e-12
0110110100,1.630557594036541e-10
0110110101,4.697591048019347e-15
0110110110,4.025338697201824e-10
0110110111,2.939849926254554e-12
0110111000,2.3099202018963797e-07
0110111001,6.654815813776342e-12
0110111010,3.691025302060912e-10
0110111011,2.6956888049222985e-12
0110111100,4.581049484723592e-07
0110111101,1.3197876069312844e-11
0110111110,1.1309183945477435e-06
0110111111,8.259504625343092e-09
0111000000,0.0010717493725297227
0111000001,3.08768011417029e-08
0111000010,1.712550090789921e-06
0111000011,1.2507370526648503e-08
0111000100,3.497912909142372e-07
0111000101,1.0077389740070895e-11
0111000110,8.635257193066108e-07
0111000111,6.306639548088609e-09
0111001000,3.814735213207768e-07
0111001001,1.0990145980533447e-11
0111001010,6.0955716916338e-10
0111001011,4.4518156945615365e-12
0111001100,7.565408869308772e-07
0111001101,2.179573239795333e-11
0111001110,1.867663748472295e-06
0111001111,1.36402214726213e-08
0111010000,1.2391140512221064e-06
0111010001,3.56985309552059e-11
0111010010,1.9799823870301674e-09
0111010011,1.4460524970339165e-11
0111010100,4.0441479573148074e-10
0111010101,1.1651077711470296e-14
0111010110,9.983741346718844e-10
0111010111,7.291486125701364e-12
0111011000,5.729119351702032e-07
0111011001,1.6505433403897746e-11
0111011010,9.154569265335874e-10
0111011011,6.685911870794429e-12
0111011100,1.1362028537820413e-06
0111011101,3.273368799839486e-11
0111011110,2.8049308604167603e-06
0111011111,2.048542098799666e-08
0111100000,0.0012723128024970723
0111100001,3.665497773982164e-08
0111100010,2.0330307264715578e-06
0111100011,1.4847956112228185e-08
0111100100,4.152500099735948e-07
0111100101,1.1963237218213765e-11
0111100110,1.0251229029096761e-06
0111100111,7.486842020562928e-09
0111101000,4.528611421945136e-07
0111101001,1.3046803469863145e-11
0111101010,7.236275663496441e-10
0111101011,5.284912916887154e-12
0111101100,8.981173030991903e-07
0111101101,2.587450954532482e-11
0111101110,2.217171811663523e-06
0111101111,1.6192804822967357e-08
0111110000,0.0008471697222468806
0111110001,2.440672392030083e-08
0111110010,1.3536938970385369e-06
0111110011,9.886514409697753e-09
0111110100,2.76494298353297e-07
0111110101,7.965723783834225e-12
0111110110,6.825782804530921e-07
0111110111,4.985115187568951e-09
0111111000,0.0003916940853921979
0111111001,1.128459758692387e-08
0111111010,6.258886253573993e-07
0111111011,4.571090205103946e-09
0111111100,0.0007768103792425731
0111111101,2.2379690830207167e-08
0111111110,0.0019177028100014967
0111111111,1.4005674773355305e-05
1000000000,0.0032952607075877618
1000000001,9.493554387449168e-08
1000000010,5.265502521952138e-06
1000000011,3.84558626373845e-08
1000000100,1.0754879138257847e-06
1000000101,3.098450747596092e-11
1000000110,2.6550445894883105e-06
1000000111,1.9390747531470145e-08
1000001000,1.1728998756737176e-06
1000001001,3.3790918985866787e-11
1000001010,1.874178646665645e-09
1000001011,1.3687802122136808e-11
1000001100,2.3261030258431776e-06
1000001101,6.701438079179402e-11
1000001110,5.742423670190802e-06
1000001111,4.1938989668293235e-08
1000010000,3.809849531867913e-06
1000010001,1.0976070468567769e-10
1000010010,6.087764853359299e-09
1000010011,4.446114079206404e-11
1000010100,1.2434364041618506e-09
1000010101,3.582305674043658e-14
1000010110,3.0696570875435254e-09
1000010111,2.2418812033667564e-11
1000011000,1.7615071557432418e-06
1000011001,5.0748530908108684e-11
1000011010,2.814715190711737e-09
1000011011,2.0556879478473817e-11
1000011100,3.4934329945812072e-06
1000011101,1.0064483230901645e-10
1000011110,8.624197679738175e-06
1000011111,6.298562386913537e-08
1000100000,4.819817963255981e-06
1000100001,1.3885761410747662e-10
1000100010,7.701595076358214e-09
1000100011,5.62475245449859e-11
1000100100,1.5730639928993122e-09
1000100101,4.5319535832597996e-14
1000100110,3.883404908204989e-09
1000100111,2.836190564768914e-11
1000101000,1.7155437434299972e-09
1000101001,4.942433779154049e-14
