state,times
|0000>,38
|0001>,36
|0010>,53
|0011>,39
|1000>,42
|1001>,58
|1010>,41
|1011>,53
|0100>,44
|0101>,48
|0110>,51
|0111>,49
|1100>,64
|1101>,104
|1110>,166
|1111>,138
