state,times
|00000>,8
|00001>,14
|00010>,26
|00011>,44
|00100>,3
|00101>,12
|00110>,27
|00111>,18
|10000>,12
|10001>,11
|10010>,41
|10011>,35
|10100>,9
|10101>,7
|10110>,25
|10111>,15
|01000>,21
|01001>,14
|01010>,32
|01011>,36
|01100>,11
|01101>,14
|01110>,28
|01111>,13
|11000>,71
|11001>,63
|11010>,58
|11011>,53
|11100>,42
|11101>,80
|11110>,114
|11111>,67
