state,times
|0000>,239
|0001>,34
|0010>,107
|0011>,40
|1000>,84
|1001>,27
|1010>,42
|1011>,15
|0100>,86
|0101>,34
|0110>,41
|0111>,10
|1100>,32
|1101>,25
|1110>,93
|1111>,115
